RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 92468 435161
block_tx 92468 435162
block_tx 92468 435163
block_tx 92468 435164
block_tx 92468 435165
block_tx 92468 435166
block_tx 92468 435167
block_tx 92468 435168
block_tx 92468 435169
block_tx 92468 435170
block_tx 92468 435171
block_tx 92469 435172
block_tx 92469 435173
block_tx 92469 435174
block_tx 92470 435175
block_tx 92470 435176
block_tx 92470 435177
block_tx 92471 435178
block_tx 92472 435179
block_tx 92473 435180
block_tx 92474 435181
block_tx 92475 435182
block_tx 92476 435183
block_tx 92477 435184
block_tx 92478 435185
block_tx 92479 435186
block_tx 92480 435187
block_tx 92481 435188
block_tx 92482 435189
block_tx 92483 435190
block_tx 92484 435191
block_tx 92485 435192
block_tx 92486 435193
block_tx 92487 435194
block_tx 92488 435195
block_tx 92488 435196
block_tx 92489 435197
block_tx 92490 435198
block_tx 92491 435199
block_tx 92492 435200
block_tx 92493 435201
block_tx 92494 435202
block_tx 92495 435203
block_tx 92496 435204
block_tx 92497 435205
block_tx 92498 435206
block_tx 92499 435207
block_tx 92499 435208
block_tx 92500 435209
block_tx 92501 435210
block_tx 92502 435211
block_tx 92503 435212
block_tx 92504 435213
block_tx 92504 435214
block_tx 92505 435215
block_tx 92506 435216
block_tx 92507 435217
block_tx 92508 435218
block_tx 92509 435219
block_tx 92510 435220
block_tx 92511 435221
block_tx 92512 435222
block_tx 92512 435223
block_tx 92513 435224
block_tx 92514 435225
block_tx 92515 435226
block_tx 92516 435227
block_tx 92517 435228
block_tx 92518 435229
block_tx 92519 435230
block_tx 92520 435231
block_tx 92521 435232
block_tx 92522 435233
block_tx 92523 435234
block_tx 92524 435235
block_tx 92524 435236
block_tx 92525 435237
block_tx 92526 435238
block_tx 92527 435239
block_tx 92528 435240
block_tx 92529 435241
block_tx 92530 435242
block_tx 92531 435243
block_tx 92531 435244
block_tx 92531 435245
block_tx 92531 435246
block_tx 92531 435247
block_tx 92532 435248
block_tx 92532 435249
block_tx 92532 435250
block_tx 92533 435251
block_tx 92534 435252
block_tx 92535 435253
block_tx 92536 435254
block_tx 92537 435255
block_tx 92537 435256
block_tx 92538 435257
block_tx 92538 435258
block_tx 92538 435259
block_tx 92538 435260
block_tx 92538 435261
block_tx 92539 435262
block_tx 92539 435263
block_tx 92539 435264
block_tx 92540 435265
block_tx 92540 435266
block_tx 92540 435267
block_tx 92541 435268
block_tx 92542 435269
block_tx 92543 435270
block_tx 92544 435271
block_tx 92545 435272
block_tx 92546 435273
block_tx 92547 435274
block_tx 92548 435275
block_tx 92549 435276
block_tx 92550 435277
block_tx 92551 435278
block_tx 92552 435279
block_tx 92553 435280
block_tx 92554 435281
block_tx 92555 435282
block_tx 92555 435283
block_tx 92555 435284
block_tx 92556 435285
block_tx 92557 435286
block_tx 92558 435287
block_tx 92559 435288
block_tx 92560 435289
block_tx 92561 435290
block_tx 92562 435291
block_tx 92563 435292
block_tx 92563 435293
block_tx 92564 435294
block_tx 92565 435295
block_tx 92565 435296
block_tx 92565 435297
block_tx 92565 435298
block_tx 92565 435299
block_tx 92565 435300
block_tx 92566 435301
block_tx 92567 435302
block_tx 92568 435303
block_tx 92569 435304
block_tx 92570 435305
block_tx 92571 435306
block_tx 92572 435307
block_tx 92572 435308
block_tx 92572 435309
block_tx 92573 435310
block_tx 92573 435311
block_tx 92573 435312
block_tx 92573 435313
block_tx 92573 435314
block_tx 92573 435315
block_tx 92574 435316
block_tx 92575 435317
block_tx 92576 435318
block_tx 92577 435319
block_tx 92578 435320
block_tx 92579 435321
block_tx 92580 435322
block_tx 92581 435323
RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 92582 435324
block_tx 92582 435325
block_tx 92582 435326
block_tx 92582 435327
block_tx 92582 435328
block_tx 92582 435329
block_tx 92582 435330
block_tx 92582 435331
block_tx 92582 435332
block_tx 92582 435333
block_tx 92582 435334
block_tx 92583 435335
block_tx 92583 435336
block_tx 92583 435337
block_tx 92584 435338
block_tx 92584 435339
block_tx 92584 435340
block_tx 92585 435341
block_tx 92586 435342
block_tx 92587 435343
block_tx 92588 435344
block_tx 92589 435345
block_tx 92590 435346
block_tx 92591 435347
block_tx 92592 435348
block_tx 92593 435349
block_tx 92594 435350
block_tx 92595 435351
block_tx 92596 435352
block_tx 92597 435353
block_tx 92598 435354
block_tx 92599 435355
block_tx 92600 435356
block_tx 92601 435357
block_tx 92602 435358
block_tx 92602 435359
block_tx 92603 435360
block_tx 92604 435361
block_tx 92605 435362
block_tx 92606 435363
block_tx 92607 435364
block_tx 92608 435365
block_tx 92609 435366
block_tx 92610 435367
block_tx 92611 435368
block_tx 92612 435369
block_tx 92613 435370
block_tx 92613 435371
block_tx 92614 435372
block_tx 92615 435373
block_tx 92616 435374
block_tx 92617 435375
block_tx 92618 435376
block_tx 92618 435377
block_tx 92619 435378
block_tx 92620 435379
block_tx 92621 435380
block_tx 92622 435381
